meddra_code	mesh_term
10000073	"Hernia, Diaphragmatic"
10000073	"Hernia, Femoral"
10000073	Incisional Hernia
10000073	"Hernia, Inguinal"
10000211	"Abortion, Spontaneous"
10000485	"Acidosis, Respiratory"
10000485	"Alkalosis, Respiratory"
10001353	Adrenal Gland Diseases
10001708	Angioedema
10001708	Urticaria
10002426	Angioedema
10002693	Iridocorneal Endothelial Syndrome
10002693	Exfoliation Syndrome
10002693	Cataract
10002693	MYH9-Related Disorders
10002693	Pinguecula
10002693	Conjunctival Diseases
10002693	Corneal Opacity
10002693	Corneal Perforation
10002693	Corneal Injuries
10002693	Hepatolenticular Degeneration
10002693	Keratoconus
10002693	Keratomalacia
10002693	Xerophthalmia
10003216	Aortic Valve Stenosis
10003216	Aortic Coarctation
10003216	Leriche Syndrome
10003216	Amaurosis Fugax
10003216	Anterior Spinal Artery Syndrome
10003216	Vertebrobasilar Insufficiency
10003216	"Hypoxia, Brain"
10003216	Brain Stem Infarctions
10003216	Carotid Stenosis
10003216	Cerebral Infarction
10003216	Brain Ischemia
10003216	Lateral Medullary Syndrome
10003216	"Ischemic Attack, Transient"
10003216	Spinal Cord Ischemia
10003216	"Stroke, Lacunar"
10003216	"Dementia, Vascular"
10003216	Cerebrovascular Disorders
10003216	Intracranial Arteriosclerosis
10003216	Carotid Artery Diseases
10003216	Median Arcuate Ligament Syndrome
10003216	"Colitis, Ischemic"
10004018	Bacterial Infections
10004606	Bile Duct Diseases
10004994	Urinary Bladder Neoplasms
10005330	"Blood Coagulation Disorders, Inherited"
10005330	Hemoglobinopathies
10005959	"Bone Diseases, Metabolic"
10006232	Breast Diseases
10006436	Bronchial Fistula
10006436	Bronchiectasis
10006436	Bronchiolitis
10006436	Yellow Nail Syndrome
10006436	Bronchomalacia
10006436	Bronchial Diseases
10006436	Ciliary Motility Disorders
10006436	Asthma
10006436	"Asthma, Exercise-Induced"
10006436	"Bronchitis, Chronic"
10006436	Bronchial Spasm
10006436	"Pulmonary Disease, Chronic Obstructive"
10006436	Cystic Fibrosis
10006436	Bronchiolitis Obliterans
10006436	Status Asthmaticus
10006436	Respiratory Sounds
10006436	"Lung Diseases, Obstructive"
10006436	Bronchial Hyperreactivity
10006436	"Asthma, Occupational"
10006436	Airway Remodeling
10007510	Heart Septal Defects
10007510	Persistent Fetal Circulation Syndrome
10007521	"Arrhythmias, Cardiac"
10007951	Brain Abscess
10007951	Epidural Abscess
10007951	Arachnoiditis
10007951	Gliosis
10007951	Neurosarcoidosis
10007951	Encephalitis
10007951	"Encephalitis, Varicella Zoster"
10007951	Neurotoxicity Syndromes
10007951	Encephalomyelitis
10007951	Kuru
10007951	Subacute Sclerosing Panencephalitis
10007951	"Paraneoplastic Syndromes, Nervous System"
10007951	Hashimoto's encephalitis
10007951	Limbic Encephalitis
10007951	"Toxoplasmosis, Cerebral"
10007951	Central Nervous System Protozoal Infections
10007951	"Malaria, Cerebral"
10007951	Amebiasis
10007951	Lyme Disease
10007951	Mucormycosis
10007951	Neurosyphilis
10007951	"Empyema, Subdural"
10007951	"Fatigue Syndrome, Chronic"
10007951	Neurocysticercosis
10007951	Central Nervous System Infections
10007951	Central Nervous System Viral Diseases
10007951	"Tuberculosis, Central Nervous System"
10007951	Central Nervous System Fungal Infections
10007963	Brain Stem Infarctions
10007963	Carotid Artery Thrombosis
10007963	Intracranial Embolism
10007963	Cerebral Hemorrhage
10007963	Cerebral Infarction
10007963	Brain Ischemia
10007963	Intracranial Thrombosis
10007963	Stroke
10007963	Intracranial Hemorrhages
10007963	Lateral Medullary Syndrome
10007963	Subarachnoid Hemorrhage
10007963	Spinal Cord Vascular Diseases
10007963	"Hematoma, Epidural, Spinal"
10007963	"Hematoma, Subdural, Spinal"
10007963	"Stroke, Lacunar"
10007963	Vertebrobasilar Insufficiency
10007963	"Hypoxia, Brain"
10007963	Carotid Stenosis
10007963	Cerebrovascular Disorders
10007963	Moyamoya Disease
10007963	Giant Cell Arteritis
10007963	Sneddon Syndrome
10007963	Intracranial Arteriovenous Malformations
10007963	Carotid Artery Diseases
10007963	Intracranial Arteriosclerosis
10007963	Cerebral Small Vessel Diseases
10007963	Cerebral Amyloid Angiopathy
10008401	Tic Disorders
10009841	Attention Deficit and Disruptive Behavior Disorders
10009841	Learning Disorders
10009841	Intellectual Disability
10010118	Communication Disorders
10010273	"Pregnancy, Multiple"
10010273	"Pregnancy, Unplanned"
10010273	"Pregnancy, High-Risk"
10010761	Connective Tissue Diseases
10011063	Ichthyosis
10011954	Orthostatic Intolerance
10011954	"Shock, Cardiogenic"
10011954	Shock
10011954	Dizziness
10011954	"Shock, Septic"
10011954	Heat Stroke
10011954	Syncope
10011954	Waterhouse-Friderichsen Syndrome
10011954	"Shock, Hemorrhagic"
10011954	Anaphylaxis
10011954	Capillary Leak Syndrome
10011954	Hypotension
10011954	"Hypotension, Orthostatic"
10011954	Systemic Inflammatory Response Syndrome
10011954	Multiple System Atrophy
10011954	"Reflex, Trigeminocardiac"
10011954	Transfusion Reaction
10012375	Depressive Disorder
10012653	Diabetes Complications
10013296	"Bone Diseases, Metabolic"
10013296	Calcium Metabolism Disorders
10013296	Phosphorus Metabolism Disorders
10013317	Lipid Metabolism Disorders
10013326	Metrorrhagia
10013326	Dysmenorrhea
10013326	Menstruation Disturbances
10013326	Premenstrual Syndrome
10013326	Premenstrual Dysphoric Disorder
10013326	Amenorrhea
