"HLGT"	"gene"	"mesh_tr"	"HLGT_N"	"mesh_N"	"intersect_N"	"flag"
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"AR"	"Receptors, Androgen"	"94336"	"14984"	"14"	TRUE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"NR3C1"	"Receptors, Glucocorticoid"	"94336"	"12736"	"8"	TRUE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"HTR3A"	"Receptors, Serotonin, 5-HT3"	"94336"	"1657"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"PDE3A"	"Cyclic Nucleotide Phosphodiesterases, Type 3"	"94336"	"855"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"PTGS2"	"Cyclooxygenase 2"	"94336"	"22509"	"9"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"PDE4D"	"Cyclic Nucleotide Phosphodiesterases, Type 4"	"94336"	"1839"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"ADRA1A"	"Receptors, Adrenergic, alpha-1"	"94336"	"3624"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"KCNH2"	"ERG1 Potassium Channel"	"94336"	"1772"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"SLC29A1"	"Equilibrative Nucleoside Transporter 1"	"94336"	"480"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"HTR2A"	"Receptor, Serotonin, 5-HT2A"	"94336"	"3015"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"SCN5A"	"NAV1.5 Voltage-Gated Sodium Channel"	"94336"	"1523"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"ABCB11"	"ATP Binding Cassette Transporter, Subfamily B, Member 11"	"94336"	"554"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"MAOA"	"Monoamine Oxidase"	"94336"	"11015"	"4"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"PGR"	"Receptors, Progesterone"	"94336"	"18606"	"1"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"ADRB2"	"Receptors, Adrenergic, beta-2"	"94336"	"4272"	"2"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"GABRA1"	"Receptors, GABA-A"	"94336"	"18704"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"HTR2B"	"Receptor, Serotonin, 5-HT2B"	"94336"	"424"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"AGTR1"	"Receptor, Angiotensin, Type 1"	"94336"	"6781"	"1"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"ADORA3"	"Receptor, Adenosine A3"	"94336"	"746"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"KDR"	"Vascular Endothelial Growth Factor Receptor-2"	"94336"	"6442"	"7"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"ACHE"	"Acetylcholinesterase"	"94336"	"21600"	"4"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"CHRM1"	"Receptor, Muscarinic M1"	"94336"	"1272"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"GRIN1"	"Receptors, N-Methyl-D-Aspartate"	"94336"	"26904"	"1"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"SLC6A3"	"Dopamine Plasma Membrane Transport Proteins"	"94336"	"5639"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"ADRA2A"	"Receptors, Adrenergic, alpha-2"	"94336"	"3568"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"CNR1"	"Receptor, Cannabinoid, CB1"	"94336"	"5259"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"ADORA1"	"Receptor, Adenosine A1"	"94336"	"1347"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"EDNRB"	"Receptor, Endothelin B"	"94336"	"2261"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"EDNRA"	"Receptor, Endothelin A"	"94336"	"2741"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"ADORA2A"	"Receptor, Adenosine A2A"	"94336"	"2325"	"1"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"NTSR1"	"Receptors, Neurotensin"	"94336"	"1049"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"OPRD1"	"Receptors, Opioid, delta"	"94336"	"4485"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"ESR1"	"Receptors, Estrogen"	"94336"	"48067"	"3"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"TBXA2R"	"Receptors, Thromboxane A2, Prostaglandin H2"	"94336"	"592"	"3"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"OPRM1"	"Receptors, Opioid, mu"	"94336"	"8769"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"SLC6A2"	"Norepinephrine Plasma Membrane Transport Proteins"	"94336"	"1388"	"0"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"SLC6A4"	"Serotonin Plasma Membrane Transport Proteins"	"94336"	"6470"	"1"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"DRD1"	"Receptors, Dopamine D1"	"94336"	"7121"	"1"	FALSE
"coagulopathies and bleeding diatheses (excl thrombocytopenic)"	"HRH1"	"Receptors, Histamine H1"	"94336"	"2208"	"0"	FALSE
"haematological disorders nec"	"AR"	"Receptors, Androgen"	"541654"	"14984"	"83"	FALSE
"haematological disorders nec"	"NR3C1"	"Receptors, Glucocorticoid"	"541654"	"12736"	"93"	FALSE
"haematological disorders nec"	"HTR3A"	"Receptors, Serotonin, 5-HT3"	"541654"	"1657"	"1"	TRUE
"haematological disorders nec"	"PDE3A"	"Cyclic Nucleotide Phosphodiesterases, Type 3"	"541654"	"855"	"4"	TRUE
"haematological disorders nec"	"PTGS2"	"Cyclooxygenase 2"	"541654"	"22509"	"101"	FALSE
"haematological disorders nec"	"PDE4D"	"Cyclic Nucleotide Phosphodiesterases, Type 4"	"541654"	"1839"	"23"	FALSE
