"HLGT"	"gene"	"mesh_tr"	"HLGT_N"	"mesh_N"	"intersect_N"	"flag"
"abdominal hernias and other abdominal wall conditions"	"ABCB11"	"ATP Binding Cassette Transporter, Subfamily B, Member 11"	"32021"	"554"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"ACHE"	"Acetylcholinesterase"	"32021"	"21600"	"1"	FALSE
"abdominal hernias and other abdominal wall conditions"	"ADORA1"	"Receptor, Adenosine A1"	"32021"	"1347"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"ADORA2A"	"Receptor, Adenosine A2A"	"32021"	"2325"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"ADORA3"	"Receptor, Adenosine A3"	"32021"	"746"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"ADRA1A"	"Receptors, Adrenergic, alpha-1"	"32021"	"3624"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"ADRA2A"	"Receptors, Adrenergic, alpha-2"	"32021"	"3568"	"1"	FALSE
"abdominal hernias and other abdominal wall conditions"	"ADRA2B"	"Receptors, Adrenergic, alpha-2"	"32021"	"3568"	"1"	FALSE
"abdominal hernias and other abdominal wall conditions"	"ADRA2C"	"Receptors, Adrenergic, alpha-2"	"32021"	"3568"	"1"	FALSE
"abdominal hernias and other abdominal wall conditions"	"ADRB1"	"Receptors, Adrenergic, beta-1"	"32021"	"1926"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"ADRB2"	"Receptors, Adrenergic, beta-2"	"32021"	"4272"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"ADRB3"	"Receptors, Adrenergic, beta-3"	"32021"	"1397"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"AGTR1"	"Receptor, Angiotensin, Type 1"	"32021"	"6781"	"2"	FALSE
"abdominal hernias and other abdominal wall conditions"	"AR"	"Receptors, Androgen"	"32021"	"14984"	"9"	FALSE
"abdominal hernias and other abdominal wall conditions"	"ATM"	"Ataxia Telangiectasia Mutated Proteins"	"32021"	"5371"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"ATR"	"Ataxia Telangiectasia Mutated Proteins"	"32021"	"5371"	"0"	FALSE
"abdominal hernias and other abdominal wall conditions"	"AVPR1A"	"Receptors, Vasopressin"	"32021"	"3303"	"0"	FALSE
