X	SOC	"MedDRA term name (mangled, from R)"	MedDRA term name	MedDRA ID	UMLS concept CUI for ADR	UMLS concept name for ADR	target	Entrez Gene Symbol for target	MeSH term for target
1	blood and lymphatic system disorders	coagulopathies and bleeding diatheses  excl thrombocytopenic 	coagulopathies and bleeding diatheses (excl thrombocytopenic)	10064477	C1536063	Coagulopathies and bleeding diatheses (excl thrombocytopenic)	AR Binding	AR	"Receptors, Androgen"
2	blood and lymphatic system disorders	coagulopathies and bleeding diatheses  excl thrombocytopenic 	coagulopathies and bleeding diatheses (excl thrombocytopenic)	10064477	C1536063	Coagulopathies and bleeding diatheses (excl thrombocytopenic)	GR Binding	NR3C1	"Receptors, Glucocorticoid"
332	blood and lymphatic system disorders	haematological disorders nec	haematological disorders nec	10018849	C0947743	Haematological disorders NEC	5HT3	HTR3A	"Receptors, Serotonin, 5-HT3"
5	blood and lymphatic system disorders	haematological disorders nec	haematological disorders nec	10018849	C0947743	Haematological disorders NEC	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
6	blood and lymphatic system disorders	haemolyses and related conditions	haemolyses and related conditions	10018911	C0851414	Haemolyses and related conditions	COX-2	PTGS2	Cyclooxygenase 2
7	blood and lymphatic system disorders	haemolyses and related conditions	haemolyses and related conditions	10018911	C0851414	Haemolyses and related conditions	PDE4D	PDE4D	"Cyclic Nucleotide Phosphodiesterases, Type 4"
9	blood and lymphatic system disorders	red blood cell disorders	red blood cell disorders	10038158	C0221016	Red blood cell disorder	5HT3	HTR3A	"Receptors, Serotonin, 5-HT3"
10	blood and lymphatic system disorders	red blood cell disorders	red blood cell disorders	10038158	C0221016	Red blood cell disorder	Al1A Antagonism	ADRA1A	"Receptors, Adrenergic, alpha-1"
13	cardiac disorders	cardiac arrhythmias	cardiac arrhythmias	10007521	C0003811	Cardiac Arrhythmia	hERG Binding	KCNH2	ERG1 Potassium Channel
15	cardiac disorders	cardiac valve disorders	cardiac valve disorders	10046973	C0018824	Heart valve disease	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
16	cardiac disorders	heart failures	heart failures	10019280	C0018801	Heart failure	hERG Binding	KCNH2	ERG1 Potassium Channel
17	cardiac disorders	myocardial disorders	myocardial disorders	10028593	C3241958	Myocardial Disorder	GR Binding	NR3C1	"Receptors, Glucocorticoid"
18	cardiac disorders	pericardial disorders	pericardial disorders	10034468	C0265122	Disorder of pericardium	AdT	SLC29A1	Equilibrative Nucleoside Transporter 1
257	"congenital, familial and genetic disorders"	blood and lymphatic system disorders congenital	blood and lymphatic system disorders congenital	10005330	C0851522	Blood and lymphatic system disorders congenital	5HT2A Antagonism	HTR2A	"Receptor, Serotonin, 5-HT2A"
258	"congenital, familial and genetic disorders"	cardiac and vascular disorders congenital	cardiac and vascular disorders congenital	10007510	C0851437	Cardiac and vascular disorders congenital	Al1A Binding	ADRA1A	"Receptors, Adrenergic, alpha-1"
23	"congenital, familial and genetic disorders"	gastrointestinal tract disorders congenital	gastrointestinal tract disorders congenital	10018018	C0851385	Gastrointestinal tract disorders congenital	Nav1 5 Quattro	SCN5A	NAV1.5 Voltage-Gated Sodium Channel
26	"congenital, familial and genetic disorders"	musculoskeletal and connective tissue disorders congenital	musculoskeletal and connective tissue disorders congenital	10028396	C0851566	Musculoskeletal and connective tissue disorders congenital	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
27	"congenital, familial and genetic disorders"	neurological disorders congenital	neurological disorders congenital	10029299	C0851567	Congenital neurological disorder	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
334	"congenital, familial and genetic disorders"	neurological disorders congenital	neurological disorders congenital	10029299	C0851567	Congenital neurological disorder	rAl1	ADRA1A	"Receptors, Adrenergic, alpha-1"
28	"congenital, familial and genetic disorders"	renal and urinary tract disorders congenital	renal and urinary tract disorders congenital	10038360	C0851568	Renal and urinary tract disorders congenital	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
30	"congenital, familial and genetic disorders"	respiratory disorders congenital	respiratory disorders congenital	10038686	C0702198	Respiratory disorders congenital	Al1A Binding	ADRA1A	"Receptors, Adrenergic, alpha-1"
31	"congenital, familial and genetic disorders"	respiratory disorders congenital	respiratory disorders congenital	10038686	C0702198	Respiratory disorders congenital	COX-2	PTGS2	Cyclooxygenase 2
261	ear and labyrinth disorders	aural disorders nec	aural disorders nec	10027667	C0947777	Aural disorders NEC	5HT3	HTR3A	"Receptors, Serotonin, 5-HT3"
32	ear and labyrinth disorders	aural disorders nec	aural disorders nec	10027667	C0947777	Aural disorders NEC	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
33	ear and labyrinth disorders	external ear disorders  excl congenital 	external ear disorders (excl congenital)	10015732	C0851423	External ear disorders (excl congenital)	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
34	ear and labyrinth disorders	inner ear and viiith cranial nerve disorders	inner ear and viiith cranial nerve disorders	10022396	C0851558	Inner ear and VIIIth cranial nerve disorders	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
35	ear and labyrinth disorders	middle ear disorders  excl congenital 	middle ear disorders (excl congenital)	10027584	C0851560	Middle ear disorders (excl congenital)	5HT3	HTR3A	"Receptors, Serotonin, 5-HT3"
36	endocrine disorders	adrenal gland disorders	adrenal gland disorders	10001353	C0001621	Adrenal Gland Diseases	AR Binding	AR	"Receptors, Androgen"
37	endocrine disorders	adrenal gland disorders	adrenal gland disorders	10001353	C0001621	Adrenal Gland Diseases	GR Binding	NR3C1	"Receptors, Glucocorticoid"
262	endocrine disorders	endocrine disorders of gonadal function	endocrine disorders of gonadal function	10014701	C0851430	Endocrine disorders of gonadal function	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
41	endocrine disorders	parathyroid gland disorders	parathyroid gland disorders	10033949	C0030517	Parathyroid Diseases	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
42	endocrine disorders	thyroid gland disorders	thyroid gland disorders	10043739	C0040128	Thyroid Diseases	BSEP	ABCB11	"ATP Binding Cassette Transporter, Subfamily B, Member 11"
43	endocrine disorders	thyroid gland disorders	thyroid gland disorders	10043739	C0040128	Thyroid Diseases	MAO A	MAOA	Monoamine Oxidase
45	eye disorders	anterior eye structural change  deposit and degeneration	"anterior eye structural change, deposit and degeneration"	10002693	C0947749	"Anterior eye structural change, deposit and degeneration"	GR Binding	NR3C1	"Receptors, Glucocorticoid"
46	eye disorders	anterior eye structural change  deposit and degeneration	"anterior eye structural change, deposit and degeneration"	10002693	C0947749	"Anterior eye structural change, deposit and degeneration"	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
47	eye disorders	anterior eye structural change  deposit and degeneration	"anterior eye structural change, deposit and degeneration"	10002693	C0947749	"Anterior eye structural change, deposit and degeneration"	PR Binding	PGR	"Receptors, Progesterone"
48	eye disorders	eye disorders nec	eye disorders nec	10010464	C0851607	Congenital eye disorders NEC	PR Binding	PGR	"Receptors, Progesterone"
337	eye disorders	glaucoma and ocular hypertension	glaucoma and ocular hypertension	10018307	C0851409	Glaucoma and ocular hypertension	Beta2 Binding	ADRB2	"Receptors, Adrenergic, beta-2"
50	eye disorders	ocular infections  irritations and inflammations	"ocular infections, irritations and inflammations"	10021877	C0851410	"Ocular infections, irritations and inflammations"	PR Binding	PGR	"Receptors, Progesterone"
