meddra_code	umls_concept_id	concept_name	child_query_id	child_query_level	mesh_unique_id	mesh_term
10000073	C0851381	Abdominal hernias and other abdominal wall conditions	10012714	1	D006548	"Hernia, Diaphragmatic"
10000073	C0851381	Abdominal hernias and other abdominal wall conditions	10016435	1	D006550	"Hernia, Femoral"
10000073	C0851381	Abdominal hernias and other abdominal wall conditions	10021620	1	D000069290	Incisional Hernia
10000073	C0851381	Abdominal hernias and other abdominal wall conditions	10022017	1	D006552	"Hernia, Inguinal"
10000211	C0851373	Abortions and stillbirth	10000235	1	D000022	"Abortion, Spontaneous"
10000485	C0740265	Acid-base disorders	10038660	1	D000142	"Acidosis, Respiratory"
10000485	C0740265	Acid-base disorders	10038663	1	D000472	"Alkalosis, Respiratory"
10001353	C0001621	Adrenal Gland Diseases	10001353	0	D000307	Adrenal Gland Diseases
10001708	C0851444	Allergic condition	10002425	1	D000799	Angioedema
10001708	C0851444	Allergic condition	10046736	1	D014581	Urticaria
10002426	C0002994	Angioedema	10002426	0	D000799	Angioedema
10002693	C0947749	"Anterior eye structural change, deposit and degeneration"	10053678	2	D057129	Iridocorneal Endothelial Syndrome
10002693	C0947749	"Anterior eye structural change, deposit and degeneration"	10074027	2	D017889	Exfoliation Syndrome
10002693	C0947749	"Anterior eye structural change, deposit and degeneration"	10007739	2	D002386	Cataract
10002693	C0947749	"Anterior eye structural change, deposit and degeneration"	10079437	2	C535507	MYH9-Related Disorders
10002693	C0947749	"Anterior eye structural change, deposit and degeneration"	10035060	2	D059407	Pinguecula
10002693	C0947749	"Anterior eye structural change, deposit and degeneration"	10061446	2	D003229	Conjunctival Diseases
10002693	C0947749	"Anterior eye structural change, deposit and degeneration"	10011035	2	D003318	Corneal Opacity
10002693	C0947749	"Anterior eye structural change, deposit and degeneration"	10011039	2	D057112	Corneal Perforation
10002693	C0947749	"Anterior eye structural change, deposit and degeneration"	10011044	2	D065306	Corneal Injuries
10002693	C0947749	"Anterior eye structural change, deposit and degeneration"	10019819	2	D006527	Hepatolenticular Degeneration
10002693	C0947749	"Anterior eye structural change, deposit and degeneration"	10023353	2	D007640	Keratoconus
10002693	C0947749	"Anterior eye structural change, deposit and degeneration"	10023361	2	C536156	Keratomalacia
10002693	C0947749	"Anterior eye structural change, deposit and degeneration"	10048221	2	D014985	Xerophthalmia
10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10002906	2	D001024	Aortic Valve Stenosis
10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10009807	2	D001017	Aortic Coarctation
10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10024242	2	D007925	Leriche Syndrome
10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10001903	2	D020757	Amaurosis Fugax
10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10002703	2	D020759	Anterior Spinal Artery Syndrome
10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10004163	2	D014715	Vertebrobasilar Insufficiency
10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10006127	2	D002534	"Hypoxia, Brain"
10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10006147	2	D020526	Brain Stem Infarctions
10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10007687	2	D016893	Carotid Stenosis
10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10008118	2	D002544	Cerebral Infarction
10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10008120	2	D002545	Brain Ischemia
