file,TN,FP,FN,TP,accuracy,mcc,precision,recall,hamming_loss,f1
1-test_confMatrix.Rdata,79439,834,3765,1348,0.946,0.381,0.618,0.264,0.054,0.37
1-train_confMatrix.Rdata,318584,355,6224,16381,0.981,0.833,0.979,0.725,0.019,0.833
2-test_confMatrix.Rdata,78666,725,4677,1318,0.937,0.352,0.645,0.22,0.063,0.328
2-train_confMatrix.Rdata,319475,346,5777,15946,0.982,0.839,0.979,0.734,0.018,0.839
3-test_confMatrix.Rdata,78725,784,4423,1454,0.939,0.376,0.65,0.247,0.061,0.358
3-train_confMatrix.Rdata,319377,326,5925,15916,0.982,0.837,0.98,0.729,0.018,0.836
4-test_confMatrix.Rdata,79337,877,3841,1331,0.945,0.37,0.603,0.257,0.055,0.361
4-train_confMatrix.Rdata,318639,359,6563,15983,0.98,0.823,0.978,0.709,0.02,0.822
5-test_confMatrix.Rdata,78799,1026,4045,1516,0.941,0.377,0.596,0.273,0.059,0.374
5-train_confMatrix.Rdata,319080,307,6324,15833,0.981,0.828,0.981,0.715,0.019,0.827
the_confMatrix.Rdata,398746,466,7934,19784,0.98,0.826,0.977,0.714,0.02,0.825
